alpha,n,d,theta_star,power,power_approx_2
0.1,1000,2,0.04,0.464431200667493,0.557693363096415
0.1,1000,10,0.04,0.871792683437862,0.862690738829176
0.1,1000,1,0.041,0.365433745626459,0.496685004660949
0.1,1000,2,0.041,0.480820842986589,0.571889334258561
0.1,1000,10,0.041,0.888993289825406,0.876717082484212
0.1,1000,1,0.042,0.377211232054619,0.507749036331002
0.1,1000,2,0.042,0.497293913865082,0.585833289065777
0.1,1000,10,0.042,0.904545776467173,0.889620331311192
0.1,1000,1,0.043,0.389123142474644,0.518663814858862
0.1,1000,2,0.043,0.513819417393904,0.599516586661655
0.1,1000,10,0.043,0.918492024254,0.901447233385849
0.1,1000,1,0.044,0.40115736467402,0.529426329622617
0.1,1000,2,0.044,0.530366098202838,0.612931884546318
0.1,1000,10,0.044,0.930893994753213,0.91224901723484
0.1,1000,1,0.045,0.413301547145734,0.540034120880283
0.1,1000,2,0.045,0.546902607016989,0.626073035344985
0.1,1000,10,0.045,0.941830417568705,0.922080183557399
0.1,1000,1,0.046,0.425543126181689,0.550485219746431
0.1,1000,2,0.046,0.563397668681519,0.638934990049209
0.1,1000,10,0.046,0.951393277753509,0.930997408417524
0.1,1000,1,0.047,0.437869354463629,0.560778094023776
0.1,1000,2,0.047,0.579820250978219,0.651513707707995
0.1,1000,10,0.047,0.959684259158765,0.939058562805606
0.1,1000,1,0.048,0.450267331009144,0.570911599461821
0.1,1000,2,0.048,0.596139732547741,0.663806071429177
0.1,1000,10,0.048,0.966811286392386,0.946321849973399
0.1,1000,1,0.049,0.462724032320201,0.580884936013125
0.1,1000,2,0.049,0.612326068244141,0.67580981046726
0.1,1000,10,0.049,0.972885288265618,0.952845059063503
0.1,1000,1,0.05,0.475226344572572,0.590697608666114
0.1,1000,2,0.05,0.628349950283541,0.687523428116061
0.1,1000,10,0.05,0.978017281161563,0.95868493123888
0.1,1000,1,0.051,0.487761096676805,0.600349392448791
0.1,1000,2,0.051,0.6441829636057,0.698946135087313
0.1,1000,10,0.051,0.982315843734356,0.963896632717502
0.1,1000,1,0.052,0.500315094034826,0.609840301217832
0.1,1000,2,0.052,0.659797733945087,0.710077788035644
0.1,1000,10,0.052,0.985885026760125,0.968533327777128
0.1,1000,1,0.053,0.512875152811178,0.619170559870725
0.1,1000,2,0.053,0.675168067205415,0.720918832881944
0.1,1000,10,0.053,0.988822715626128,0.972645843859481
0.1,1000,1,0.054,0.525428134534066,0.628340579643369
0.1,1000,2,0.054,0.690269078846899,0.731470252588272
0.1,1000,10,0.054,0.991219439353102,0.976282420316957
