n,alpha,d,theta_star,power
1000,0.1,10,0.16,1
1000,0.1,1,0.161,0.852
1000,0.1,2,0.161,0.9622
1000,0.1,10,0.161,1
1000,0.1,1,0.162,0.8534
1000,0.1,2,0.162,0.9618
1000,0.1,10,0.162,1
1000,0.1,1,0.163,0.8536
1000,0.1,2,0.163,0.9688
1000,0.1,10,0.163,1
1000,0.1,1,0.164,0.8674
1000,0.1,2,0.164,0.9676
1000,0.1,10,0.164,1
1000,0.1,1,0.165,0.8594
1000,0.1,2,0.165,0.9662
1000,0.1,10,0.165,1
1000,0.1,1,0.166,0.8692
1000,0.1,2,0.166,0.9628
1000,0.1,10,0.166,1
1000,0.1,1,0.167,0.8754
1000,0.1,2,0.167,0.9724
1000,0.1,10,0.167,1
1000,0.1,1,0.168,0.8728
1000,0.1,2,0.168,0.9714
1000,0.1,10,0.168,1
1000,0.1,1,0.169,0.8774
1000,0.1,2,0.169,0.973
1000,0.1,10,0.169,1
1000,0.1,1,0.17,0.8858
1000,0.1,2,0.17,0.9722
1000,0.1,10,0.17,1
1000,0.1,1,0.171,0.8818
1000,0.1,2,0.171,0.9766
1000,0.1,10,0.171,1
1000,0.1,1,0.172,0.8834
1000,0.1,2,0.172,0.971
1000,0.1,10,0.172,1
1000,0.1,1,0.173,0.8818
1000,0.1,2,0.173,0.9736
1000,0.1,10,0.173,1
1000,0.1,1,0.174,0.8934
1000,0.1,2,0.174,0.9792
1000,0.1,10,0.174,1
1000,0.1,1,0.175,0.8934
1000,0.1,2,0.175,0.9748
1000,0.1,10,0.175,1
1000,0.1,1,0.176,0.8936
1000,0.1,2,0.176,0.9776
1000,0.1,10,0.176,1
1000,0.1,1,0.177,0.9028
1000,0.1,2,0.177,0.9828
1000,0.1,10,0.177,1
1000,0.1,1,0.178,0.8898
1000,0.1,2,0.178,0.9782
1000,0.1,10,0.178,1
1000,0.1,1,0.179,0.902
1000,0.1,2,0.179,0.982
1000,0.1,10,0.179,1
1000,0.1,1,0.18,0.9082
1000,0.1,2,0.18,0.9842
1000,0.1,10,0.18,1
1000,0.1,1,0.181,0.9138
1000,0.1,2,0.181,0.9828
1000,0.1,10,0.181,1
1000,0.1,1,0.182,0.9148
1000,0.1,2,0.182,0.9798
1000,0.1,10,0.182,1
1000,0.1,1,0.183,0.9104
1000,0.1,2,0.183,0.9828
1000,0.1,10,0.183,1
1000,0.1,1,0.184,0.9192
1000,0.1,2,0.184,0.9864
1000,0.1,10,0.184,1
1000,0.1,1,0.185,0.9178
1000,0.1,2,0.185,0.9844
1000,0.1,10,0.185,1
1000,0.1,1,0.186,0.9206
1000,0.1,2,0.186,0.987
1000,0.1,10,0.186,1
1000,0.1,1,0.187,0.9184
1000,0.1,2,0.187,0.991
1000,0.1,10,0.187,1
1000,0.1,1,0.188,0.9206
1000,0.1,2,0.188,0.9862
1000,0.1,10,0.188,1
1000,0.1,1,0.189,0.9266
1000,0.1,2,0.189,0.9916
1000,0.1,10,0.189,1
1000,0.1,1,0.19,0.9306
1000,0.1,2,0.19,0.9882
1000,0.1,10,0.19,1
1000,0.1,1,0.191,0.928
1000,0.1,2,0.191,0.9892
1000,0.1,10,0.191,1
1000,0.1,1,0.192,0.9296
1000,0.1,2,0.192,0.9928
1000,0.1,10,0.192,1
1000,0.1,1,0.193,0.9354
1000,0.1,2,0.193,0.9926
1000,0.1,10,0.193,1
1000,0.1,1,0.194,0.9298
1000,0.1,2,0.194,0.9926
1000,0.1,10,0.194,1
1000,0.1,1,0.195,0.9354
1000,0.1,2,0.195,0.9898
1000,0.1,10,0.195,1
1000,0.1,1,0.196,0.9442
1000,0.1,2,0.196,0.9912
1000,0.1,10,0.196,1
1000,0.1,1,0.197,0.9414
1000,0.1,2,0.197,0.994
1000,0.1,10,0.197,1
1000,0.1,1,0.198,0.944
1000,0.1,2,0.198,0.9908
1000,0.1,10,0.198,1
1000,0.1,1,0.199,0.9486
1000,0.1,2,0.199,0.9926
1000,0.1,10,0.199,1
1000,0.1,1,0.2,0.9432
1000,0.1,2,0.2,0.9906
1000,0.1,10,0.2,1
1000,0.1,1,0.201,0.9488
1000,0.1,2,0.201,0.9916
1000,0.1,10,0.201,1
1000,0.1,1,0.202,0.9434
1000,0.1,2,0.202,0.995
1000,0.1,10,0.202,1
1000,0.1,1,0.203,0.9516
