n,d,coord1,coord2,sim,theta_star_coord1,theta_star_coord2,covered
1000,2,-0.128,-0.041,1,0,0,1
1000,2,-0.128,-0.04,1,0,0,1
1000,2,-0.128,-0.039,1,0,0,1
1000,2,-0.128,-0.038,1,0,0,1
1000,2,-0.128,-0.037,1,0,0,1
1000,2,-0.128,-0.036,1,0,0,1
1000,2,-0.128,-0.035,1,0,0,1
1000,2,-0.128,-0.034,1,0,0,1
1000,2,-0.128,-0.033,1,0,0,1
1000,2,-0.128,-0.032,1,0,0,1
1000,2,-0.128,-0.031,1,0,0,1
1000,2,-0.128,-0.03,1,0,0,1
1000,2,-0.128,-0.029,1,0,0,1
1000,2,-0.128,-0.028,1,0,0,1
1000,2,-0.128,-0.027,1,0,0,1
1000,2,-0.128,-0.026,1,0,0,1
1000,2,-0.128,-0.025,1,0,0,1
1000,2,-0.128,-0.024,1,0,0,1
1000,2,-0.128,-0.023,1,0,0,1
1000,2,-0.128,-0.022,1,0,0,1
1000,2,-0.128,-0.021,1,0,0,1
1000,2,-0.128,-0.02,1,0,0,1
1000,2,-0.128,-0.019,1,0,0,1
1000,2,-0.128,-0.018,1,0,0,1
1000,2,-0.128,-0.017,1,0,0,1
1000,2,-0.128,-0.016,1,0,0,1
1000,2,-0.128,-0.015,1,0,0,1
1000,2,-0.128,-0.014,1,0,0,1
1000,2,-0.128,-0.013,1,0,0,1
1000,2,-0.128,-0.012,1,0,0,1
1000,2,-0.128,-0.011,1,0,0,1
1000,2,-0.128,-0.01,1,0,0,1
1000,2,-0.128,-0.00900000000000001,1,0,0,1
1000,2,-0.128,-0.00800000000000001,1,0,0,1
1000,2,-0.128,-0.00700000000000001,1,0,0,1
1000,2,-0.128,-0.00600000000000001,1,0,0,1
1000,2,-0.128,-0.005,1,0,0,1
1000,2,-0.128,-0.004,1,0,0,1
1000,2,-0.128,-0.003,1,0,0,1
1000,2,-0.128,-0.002,1,0,0,1
1000,2,-0.128,-0.001,1,0,0,1
1000,2,-0.128,0,1,0,0,1
1000,2,-0.128,0.001,1,0,0,1
1000,2,-0.128,0.002,1,0,0,1
1000,2,-0.128,0.003,1,0,0,1
1000,2,-0.128,0.004,1,0,0,1
1000,2,-0.128,0.005,1,0,0,1
1000,2,-0.128,0.00600000000000001,1,0,0,1
1000,2,-0.128,0.00700000000000001,1,0,0,1
1000,2,-0.128,0.00800000000000001,1,0,0,1
1000,2,-0.128,0.00900000000000001,1,0,0,1
1000,2,-0.128,0.01,1,0,0,1
1000,2,-0.128,0.011,1,0,0,1
1000,2,-0.128,0.012,1,0,0,1
1000,2,-0.128,0.013,1,0,0,1
1000,2,-0.128,0.014,1,0,0,1
1000,2,-0.128,0.015,1,0,0,1
1000,2,-0.128,0.016,1,0,0,1
1000,2,-0.128,0.017,1,0,0,1
1000,2,-0.128,0.018,1,0,0,1
1000,2,-0.128,0.019,1,0,0,1
1000,2,-0.128,0.02,1,0,0,1
1000,2,-0.128,0.021,1,0,0,1
1000,2,-0.128,0.022,1,0,0,1
1000,2,-0.127,-0.047,1,0,0,1
1000,2,-0.127,-0.046,1,0,0,1
1000,2,-0.127,-0.045,1,0,0,1
1000,2,-0.127,-0.044,1,0,0,1
1000,2,-0.127,-0.043,1,0,0,1
1000,2,-0.127,-0.042,1,0,0,1
1000,2,-0.127,-0.041,1,0,0,1
1000,2,-0.127,-0.04,1,0,0,1
1000,2,-0.127,-0.039,1,0,0,1
1000,2,-0.127,-0.038,1,0,0,1
1000,2,-0.127,-0.037,1,0,0,1
1000,2,-0.127,-0.036,1,0,0,1
1000,2,-0.127,-0.035,1,0,0,1
1000,2,-0.127,-0.034,1,0,0,1
1000,2,-0.127,-0.033,1,0,0,1
1000,2,-0.127,-0.032,1,0,0,1
1000,2,-0.127,-0.031,1,0,0,1
1000,2,-0.127,-0.03,1,0,0,1
1000,2,-0.127,-0.029,1,0,0,1
1000,2,-0.127,-0.028,1,0,0,1
1000,2,-0.127,-0.027,1,0,0,1
1000,2,-0.127,-0.026,1,0,0,1
1000,2,-0.127,-0.025,1,0,0,1
1000,2,-0.127,-0.024,1,0,0,1
1000,2,-0.127,-0.023,1,0,0,1
1000,2,-0.127,-0.022,1,0,0,1
1000,2,-0.127,-0.021,1,0,0,1
1000,2,-0.127,-0.02,1,0,0,1
1000,2,-0.127,-0.019,1,0,0,1
1000,2,-0.127,-0.018,1,0,0,1
1000,2,-0.127,-0.017,1,0,0,1
1000,2,-0.127,-0.016,1,0,0,1
1000,2,-0.127,-0.015,1,0,0,1
1000,2,-0.127,-0.014,1,0,0,1
1000,2,-0.127,-0.013,1,0,0,1
1000,2,-0.127,-0.012,1,0,0,1
1000,2,-0.127,-0.011,1,0,0,1
1000,2,-0.127,-0.01,1,0,0,1
1000,2,-0.127,-0.00900000000000001,1,0,0,1
1000,2,-0.127,-0.00800000000000001,1,0,0,1
1000,2,-0.127,-0.00700000000000001,1,0,0,1
1000,2,-0.127,-0.00600000000000001,1,0,0,1
1000,2,-0.127,-0.005,1,0,0,1
1000,2,-0.127,-0.004,1,0,0,1
1000,2,-0.127,-0.003,1,0,0,1
1000,2,-0.127,-0.002,1,0,0,1
1000,2,-0.127,-0.001,1,0,0,1
1000,2,-0.127,0,1,0,0,1
1000,2,-0.127,0.001,1,0,0,1
1000,2,-0.127,0.002,1,0,0,1
1000,2,-0.127,0.003,1,0,0,1
1000,2,-0.127,0.004,1,0,0,1
1000,2,-0.127,0.005,1,0,0,1
1000,2,-0.127,0.00600000000000001,1,0,0,1
1000,2,-0.127,0.00700000000000001,1,0,0,1
1000,2,-0.127,0.00800000000000001,1,0,0,1
1000,2,-0.127,0.00900000000000001,1,0,0,1
1000,2,-0.127,0.01,1,0,0,1
1000,2,-0.127,0.011,1,0,0,1
1000,2,-0.127,0.012,1,0,0,1
1000,2,-0.127,0.013,1,0,0,1
1000,2,-0.127,0.014,1,0,0,1
1000,2,-0.127,0.015,1,0,0,1
1000,2,-0.127,0.016,1,0,0,1
1000,2,-0.127,0.017,1,0,0,1
1000,2,-0.127,0.018,1,0,0,1
1000,2,-0.127,0.019,1,0,0,1
1000,2,-0.127,0.02,1,0,0,1
1000,2,-0.127,0.021,1,0,0,1
1000,2,-0.127,0.022,1,0,0,1
1000,2,-0.127,0.023,1,0,0,1
1000,2,-0.127,0.024,1,0,0,1
1000,2,-0.126,-0.049,1,0,0,1
1000,2,-0.126,-0.048,1,0,0,1
1000,2,-0.126,-0.047,1,0,0,1
1000,2,-0.126,-0.046,1,0,0,1
1000,2,-0.126,-0.045,1,0,0,1
1000,2,-0.126,-0.044,1,0,0,1
1000,2,-0.126,-0.043,1,0,0,1
1000,2,-0.126,-0.042,1,0,0,1
1000,2,-0.126,-0.041,1,0,0,1
1000,2,-0.126,-0.04,1,0,0,1
1000,2,-0.126,-0.039,1,0,0,1
1000,2,-0.126,-0.038,1,0,0,1
1000,2,-0.126,-0.037,1,0,0,1
1000,2,-0.126,-0.036,1,0,0,1
1000,2,-0.126,-0.035,1,0,0,1
1000,2,-0.126,-0.034,1,0,0,1
1000,2,-0.126,-0.033,1,0,0,1
1000,2,-0.126,-0.032,1,0,0,1
1000,2,-0.126,-0.031,1,0,0,1
1000,2,-0.126,-0.03,1,0,0,1
1000,2,-0.126,-0.029,1,0,0,1
1000,2,-0.126,-0.028,1,0,0,1
1000,2,-0.126,-0.027,1,0,0,1
1000,2,-0.126,-0.026,1,0,0,1
1000,2,-0.126,-0.025,1,0,0,1
1000,2,-0.126,-0.024,1,0,0,1
1000,2,-0.126,-0.023,1,0,0,1
1000,2,-0.126,-0.022,1,0,0,1
1000,2,-0.126,-0.021,1,0,0,1
1000,2,-0.126,-0.02,1,0,0,1
1000,2,-0.126,-0.019,1,0,0,1
1000,2,-0.126,-0.018,1,0,0,1
