n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,2,1.05,0.06,5.39998645749246,0,0.12521,0.874790000000001
1000,1000,100,0.1,2,1.06,0.137,12.1349633073603,0,0.08107,0.918930000000001
1000,1000,100,0.1,2,1.07,0.207,21.438211308769,0,0.05898,0.941020000000001
1000,1000,100,0.1,2,1.08,0.326,49.9626789867189,0,0.03124,0.968760000000001
1000,1000,100,0.1,2,1.09,0.426,90.6398295275297,0,0.02045,0.979550000000001
1000,1000,100,0.1,2,1.1,0.542,621.128455627569,0,0.01168,0.988320000000001
1000,1000,100,0.1,2,1.11,0.671,810.219824655032,0,0.00512,0.994880000000001
1000,1000,100,0.1,2,1.12,0.741,1839.23058674719,0,0.00473,0.995270000000001
1000,1000,100,0.1,2,1.13,0.857,45339.0636708142,0,0.00138,0.998620000000001
1000,1000,100,0.1,2,1.14,0.91,35815.1197445864,0,9e-04,0.999100000000001
1000,1000,100,0.1,2,1.15,0.942,50637.8695498075,0,0.00054,0.999460000000001
1000,1000,100,0.1,2,1.16,0.982,3387728.55844661,0,9e-05,0.999910000000001
1000,1000,100,0.1,2,1.17,0.989,1678072.79139178,0,5e-05,0.999950000000001
1000,1000,100,0.1,2,1.18,0.997,8653434.27511415,0,1e-05,0.999990000000001
1000,1000,100,0.1,2,1.19,0.999,27481432.0834014,0,0,1
1000,1000,100,0.1,2,1.2,0.999,3010366838.50783,0,1e-05,0.999990000000001
1000,1000,100,0.1,2,1.2,1,4174575779.94305,0,0,1
1000,1000,100,0.1,2,1.21,1,796011473.633901,0,0,1
1000,1000,100,0.1,2,1.22,1,1187165731422.72,0,0,1
1000,1000,100,0.1,2,1.23,1,275451941066.085,0,0,1
1000,1000,100,0.1,2,1.24,1,2732943049890.17,0,0,1
1000,1000,100,0.1,2,1.25,1,3372950805797860,0,0,1
1000,1000,100,0.1,10,0.25,0.984,60521530.1266902,1,0,0
1000,1000,100,0.1,10,0.26,0.975,6035301.73691235,1,0,0
