alpha,n,d,theta_star,power,power_approx_2
0.1,1000,2,0.029,0.0413424060836479,0.0157106342795684
0.1,1000,10,0.029,0.243671640599612,0.267810635750143
0.1,1000,1,0.03,0.0185747668198308,0.00101488342150991
0.1,1000,2,0.03,0.045096199081321,0.0191976338581505
0.1,1000,10,0.03,0.270143075581744,0.298953485596953
0.1,1000,1,0.031,0.0200542563440174,0.00136997027950957
0.1,1000,2,0.031,0.0491369419481727,0.0232273970844586
0.1,1000,10,0.031,0.298218795291537,0.331240541421635
0.1,1000,1,0.032,0.0216337818149562,0.00182213678338484
0.1,1000,2,0.032,0.0534789480389442,0.0278381981285996
0.1,1000,10,0.032,0.327786600353137,0.364414599003284
0.1,1000,1,0.033,0.0233182734732014,0.00238962559597843
0.1,1000,2,0.033,0.058136496079202,0.0330642636827856
0.1,1000,10,0.033,0.358702822409569,0.398208144852458
0.1,1000,1,0.034,0.0251127810281114,0.00309213575636955
0.1,1000,2,0.034,0.063123741185128,0.0389351048265577
0.1,1000,10,0.034,0.390793606376678,0.432350442867126
0.1,1000,1,0.035,0.0270224647124397,0.00395058598021322
0.1,1000,2,0.035,0.0684546201888981,0.0454749867261644
0.1,1000,10,0.035,0.423857284034538,0.466574186616313
0.1,1000,1,0.036,0.0290525854106049,0.00498683338242089
0.1,1000,2,0.036,0.0741427517310701,0.0527025434070364
0.1,1000,10,0.036,0.457667816638595,0.500621494753135
0.1,1000,1,0.037,0.0312084938423461,0.00622335831391066
0.1,1000,2,0.037,0.0802013316834164,0.0606305378346798
0.1,1000,10,0.037,0.491979228325559,0.534249089310412
0.1,1000,1,0.038,0.0334956187888124,0.00768292704687327
0.1,1000,2,0.038,0.0866430245671809,0.0692657616296787
0.1,1000,10,0.038,0.526530897021611,0.567232557280241
0.1,1000,1,0.039,0.0359194543539136,0.00938824429997562
0.1,1000,2,0.039,0.0934798517312753,0.07860906408474
0.1,1000,10,0.039,0.561053519183526,0.59936965139224
0.1,1000,1,0.04,0.0384855462598708,0.011361607156841
0.1,1000,2,0.04,0.100723077150676,0.0886554967749203
0.1,1000,10,0.04,0.595275522751571,0.630482634042023
0.1,1000,1,0.041,0.0411994771824096,0.0136245709292635
0.1,1000,2,0.041,0.108383091795437,0.0993945578880394
0.1,1000,10,0.041,0.628929672452426,0.660419707603051
0.1,1000,1,0.042,0.044066851137822,0.0161976361018654
0.1,1000,2,0.042,0.11646929760364,0.110810519316688
0.1,1000,10,0.042,0.661759595589218,0.689055604480751
0.1,1000,1,0.043,0.0470932769412264,0.0190999638201068
0.1,1000,2,0.043,0.124989992165239,0.12288281937455
0.1,1000,10,0.043,0.693525956212458,0.716291431511032
0.1,1000,1,0.044,0.0502843507626438,0.0223491255898791
0.1,1000,2,0.044,0.133952255286628,0.135586504541949
0.1,1000,10,0.044,0.72401202142324,0.742053876414228
0.1,1000,1,0.045,0.0536456378150525,0.025960891065063
0.1,1000,2,0.045,0.143361838656,0.148892704725437
0.1,1000,10,0.045,0.75302839462687,0.766293890036088
0.1,1000,1,0.046,0.0571826532162185,0.0299490561049182
0.1,1000,2,0.046,0.153223059865678,0.162769127965656
0.1,1000,10,0.046,0.780416734762515,0.788984958236592
0.1,1000,1,0.047,0.0609008420738723,0.0343253117552176
0.1,1000,2,0.047,0.163538702068262,0.177180562199992
0.1,1000,10,0.047,0.806052334806061,0.810121072758301
0.1,1000,1,0.048,0.0648055588515561,0.0390991534899309
0.1,1000,2,0.048,0.174309920547373,0.192089373460456
0.1,1000,10,0.048,0.829845493360749,0.829714502404673
0.1,1000,1,0.049,0.0689020460802456,0.0442778289664026
0.1,1000,2,0.049,0.185536157470001,0.207455991666698
0.1,1000,10,0.049,0.851741675686763,0.847793455468102
0.1,1000,1,0.05,0.0731954124884951,0.0498663217008665
0.1,1000,2,0.05,0.197215066055337,0.223239376887342
0.1,1000,10,0.05,0.871720520809927,0.864399712513704
0.1,1000,1,0.051,0.077690610631381,0.0558673674535471
0.1,1000,2,0.051,0.209342445344085,0.239397460539223
0.1,1000,10,0.051,0.889793805446363,0.87958629614257
0.1,1000,1,0.052,0.0823924141057735,0.0622814997046193
0.1,1000,2,0.052,0.221912186682338,0.255887557441284
0.1,1000,10,0.052,0.906002520083053,0.893415231867673
0.1,1000,1,0.053,0.087305394446476,0.069107120378916
0.1,1000,2,0.053,0.234916232945673,0.272666745920108
0.1,1000,10,0.053,0.920413245253465,0.905955442230559
0.1,1000,1,0.054,0.0924338978043744,0.0763405919103649
0.1,1000,2,0.054,0.248344551422448,0.289692214271138
0.1,1000,10,0.054,0.933114035476006,0.917280805127116
0.1,1000,1,0.055,0.0977820215139464,0.0839763467978311
0.1,1000,2,0.055,0.262185121151502,0.306921572816104
0.1,1000,10,0.055,0.944210024205189,0.927468397239042
0.1,1000,1,0.056,0.103353590663134,0.0920070109644264
0.1,1000,2,0.056,0.276423935369718,0.324313131571355
0.1,1000,10,0.056,0.953818956239144,0.93659693462751
0.1,1000,1,0.057,0.109152134783724,0.100423537466675
0.1,1000,2,0.057,0.291045019570847,0.341826144166453
0.1,1000,10,0.057,0.962066835976883,0.944745414999487
0.1,1000,1,0.058,0.115180864784827,0.109215347385336
0.1,1000,2,0.058,0.306030465510483,0.359421019142145
0.1,1000,10,0.058,0.969083853039425,0.951991959903302
